year	season	Province	Estimated death (regression)	Actual death (NOCR)	Significant excess mortality	Excess deaths (mean)	Percentage excess death
2020	Winter	East Azarbayjan	5811	5765	NO	-46	-0.7916021
2020	Winter	West Azarbayjan	4198	4032	NO	-166	-3.9542639
2020	Winter	Ardabil	1864	1781	NO	-83	-4.4527897
2020	Winter	Isfahan	6560.5	6729	NO	168.5	2.5684018
2020	Winter	Alborz	3071.5	3070	NO	-1.5	-0.0488
2020	Winter	Ilam	706	633	NO	-73	-10.3399433
2020	Winter	Bushehr	1212	1178	NO	-34	-2.8052805
2020	Winter	Tehran	16306	16773	NO	467	2.8639765
2020	Winter	South Khorasan	986.5	978	NO	-8.5	-0.861632
2020	Winter	Razavi Khorasan	8167.5	7825	NO	-342.5	-4.1934496
2020	Winter	North Khorasan	1243	1234	NO	-9	-0.7240547
2020	Winter	Khuzestan	5809	5562	NO	-247	-4.2520227
2020	Winter	Zanjan	1433.5	1396	NO	-37.5	-2.6159749
2020	Winter	Semnan	962	950	NO	-12	-1.2474012
2020	Winter	Sistan and Baluchistan	3976	3390	NO	-586	-14.7384306
2020	Winter	Fars	5993.5	5780	NO	-213.5	-3.5621924
2020	Winter	Qazvin	1643.5	1728	YES	84.5	5.1414664
2020	Winter	Qom	1582.5	2305	YES	722.5	45.6556082
2020	Winter	Kurdestan	1907.5	1912	NO	4.5	0.2359109
2020	Winter	Kerman	4165.5	3687	NO	-478.5	-11.4872164
2020	Winter	Kermanshah	2966.5	2899	NO	-67.5	-2.2754087
2020	Winter	Kohgiluyeh and Boyer-Ahmad	810	710	NO	-100	-12.345679
2020	Winter	Lorestan	2417.5	2296	NO	-121.5	-5.0258532
2020	Winter	Mazandaran	4477	5274	YES	797	17.8020996
2020	Winter	Markazi	2052	2112	NO	60	2.9239766
2020	Winter	Hormozgan	1809.5	1799	NO	-10.5	-0.5802708
2020	Winter	Hamedan	2826.5	2711	NO	-115.5	-4.0863258
2020	Winter	Yazd	1323	1333	NO	10	0.7558579
2020	Winter	Chahar Mahaal and Bakhtiari	1003	1061	NO	58	5.782652
2020	Winter	Golestan	2372.5	2947	YES	574.5	24.2149631
2020	Winter	Gilan (Guilan)	4555.5	5937	YES	1381.5	30.3259796
2020	Spring	East Azarbayjan	5450.8	6485	YES	1034.2	18.9733617
2020	Spring	West Azarbayjan	3818.2	4338	YES	519.8	13.6137447
2020	Spring	Ardabil	1641.3	2105	YES	463.7	28.2519954
2020	Spring	Isfahan	5766.6	7172	YES	1405.4	24.37138
2020	Spring	Alborz	2638	3365	YES	727	27.5587566
2020	Spring	Ilam	573.4	692	YES	118.6	20.6836414
2020	Spring	Bushehr	963.4	1033	NO	69.6	7.2244135
2020	Spring	Tehran	14421.2	17713	YES	3291.8	22.8261171
2020	Spring	South Khorasan	973.3	1054	YES	80.7	8.2913798
2020	Spring	Razavi Khorasan	7617.7	8665	YES	1047.3	13.7482442
2020	Spring	North Khorasan	1083.4	1283	YES	199.6	18.4234816
2020	Spring	Khuzestan	4918.9	6395	YES	1476.1	30.0087418
2020	Spring	Zanjan	1225.3	1585	YES	359.7	29.3560761
2020	Spring	Semnan	844.2	977	YES	132.8	15.7308695
2020	Spring	Sistan and Baluchistan	2750	2929	FALSCH	179	6.5090909
2020	Spring	Fars	5343.5	5541	FALSCH	197.5	3.6960793
2020	Spring	Qazvin	1251.4	2067	YES	815.6	65.175004
2020	Spring	Qom	1511	1823	YES	312	20.6485771
2020	Spring	Kurdestan	1635	2229	YES	594	36.3302752
2020	Spring	Kerman	3268.4	3479	YES	210.6	6.4435198
2020	Spring	Kermanshah	2666	3132	YES	466	17.4793698
2020	Spring	Kohgiluyeh and Boyer-Ahmad	691.4	755	YES	63.6	9.1987272
2020	Spring	Lorestan	2245.8	2611	YES	365.2	16.2614658
2020	Spring	Mazandaran	4039.9	5449	YES	1409.1	34.8795762
2020	Spring	Markazi	1933.4	2217	YES	283.6	14.6684597
2020	Spring	Hormozgan	1448.9	1681	YES	232.1	16.0190489
2020	Spring	Hamedan	2605.1	2940	YES	334.9	12.8555526
2020	Spring	Yazd	1248.5	1496	YES	247.5	19.8237885
2020	Spring	Chahar Mahaal and Bakhtiari	766	1057	YES	291	37.9895561
2020	Spring	Golestan	2179.8	2858	YES	678.2	31.1129461
2020	Spring	Gilan (Guilan)	4059.2	5258	YES	1198.8	29.5329129
2020	Summer	East Azarbayjan	5833	7811	YES	1978	33.9105092
2020	Summer	West Azarbayjan	3743.4	5196	YES	1452.6	38.8042956
2020	Summer	Ardabil	1730.4	2555	YES	824.6	47.6537217
2020	Summer	Isfahan	6404.1	8318	YES	1913.9	29.8855421
2020	Summer	Alborz	2825.8	4102	YES	1276.2	45.1624319
2020	Summer	Ilam	607.8	877	YES	269.2	44.2908852
2020	Summer	Bushehr	1025.4	1710	YES	684.6	66.7641896
2020	Summer	Tehran	14639.9	20099	YES	5459.1	37.2891891
2020	Summer	South Khorasan	999.2	1059	NO	59.8	5.9847878
2020	Summer	Razavi Khorasan	7623.6	11219	YES	3595.4	47.161446
2020	Summer	North Khorasan	1326.9	1565	YES	238.1	17.9440802
2020	Summer	Khuzestan	4993.8	7993	YES	2999.2	60.0584725
2020	Summer	Zanjan	1284.7	1888	YES	603.3	46.9603799
2020	Summer	Semnan	894.4	1092	YES	197.6	22.0930233
2020	Summer	Sistan and Baluchistan	3053.5	3969	YES	915.5	29.9819879
2020	Summer	Fars	5289.1	7109	YES	1819.9	34.4085005
2020	Summer	Qazvin	1458.6	2163	YES	704.4	48.2928836
2020	Summer	Qom	1455.9	2057	YES	601.1	41.2871763
2020	Summer	Kurdestan	1782.6	2873	YES	1090.4	61.1690789
2020	Summer	Kerman	3361.1	4688	YES	1326.9	39.478147
2020	Summer	Kermanshah	2811.1	3552	YES	740.9	26.3562307
2020	Summer	Kohgiluyeh and Boyer-Ahmad	701.1	880	YES	178.9	25.5170446
2020	Summer	Lorestan	2380.8	3183	YES	802.2	33.6945565
2020	Summer	Mazandaran	4203	5709	YES	1506	35.8315489
2020	Summer	Markazi	1941	2699	YES	758	39.052035
2020	Summer	Hormozgan	1417.3	2536	YES	1118.7	78.9317717
2020	Summer	Hamedan	2691.7	3649	YES	957.3	35.5648846
2020	Summer	Yazd	1194.1	1578	YES	383.9	32.1497362
2020	Summer	Chahar Mahaal and Bakhtiari	1109.5	1421	YES	311.5	28.0757098
2020	Summer	Golestan	2255.4	3287	YES	1031.6	45.739115
2020	Summer	Gilan (Guilan)	3916.9	4457	YES	540.1	13.7889658
